,name,company,year,Price,kms_driven,fuel_type
30,Maruti Suzuki Swift,Maruti,2014,110494.99999999999,35522,Diesel
31,Mahindra Scorpio S10,Mahindra,2015,71750.0,48508,Diesel
32,Maruti Suzuki Swift,Maruti,2017,51659.99999999999,15487,Petrol
33,Maruti Suzuki Wagon,Maruti,2013,30134.999999999996,39000,Petrol
34,Maruti Suzuki Wagon,Maruti,2013,30134.999999999996,39000,Petrol
35,Toyota Innova 2.0,Toyota,2012,186549.99999999997,82000,Diesel
36,Renault Lodgy 85,Renault,2018,198029.713,20000,Diesel
37,Skoda Yeti Ambition,Skoda,2012,128575.99999999999,68000,Diesel
38,Maruti Suzuki Baleno,Maruti,2017,157563.0,32000,Diesel
39,Renault Duster 110,Renault,2012,143787.0,38000,Diesel
40,Renault Duster 85,Renault,2013,140629.713,27000,Diesel
41,Honda City 1.5,Honda,2011,80360.0,33000,Petrol
42,Maruti Suzuki Alto,Maruti,2015,71750.0,60000,Petrol
43,Maruti Suzuki Dzire,Maruti,2013,100449.71299999999,46000,Diesel
44,Honda Amaze,Honda,2013,81794.71299999999,46000,Diesel
45,Honda Amaze 1.5,Honda,2015,99014.99999999999,36000,Diesel
46,Honda City,Honda,2015,143499.713,55000,Petrol
47,Datsun Redi GO,Datsun,2017,67445.0,16000,Petrol
48,Maruti Suzuki SX4,Maruti,2010,71749.71299999999,36000,Petrol
49,Mitsubishi Pajero Sport,Mitsubishi,2015,423324.99999999994,47000,Diesel
50,Mahindra Bolero DI,Mahindra,2017,51659.99999999999,23452,Diesel
51,Maruti Suzuki Swift,Maruti,2014,110494.99999999999,35522,Diesel
52,Mahindra Scorpio S10,Mahindra,2015,71750.0,48508,Diesel
53,Maruti Suzuki Swift,Maruti,2017,51659.99999999999,15487,Petrol
54,Maruti Suzuki Wagon,Maruti,2013,30134.999999999996,39000,Petrol
55,Maruti Suzuki Wagon,Maruti,2013,30134.999999999996,39000,Petrol
56,Mahindra Scorpio S10,Mahindra,2015,113364.99999999999,35000,Diesel
57,Maruti Suzuki Swift,Maruti,2017,63139.99999999999,30874,Petrol
58,Honda City ZX,Honda,2017,48789.99999999999,15000,Diesel
59,Maruti Suzuki Wagon,Maruti,2013,24394.999999999996,29685,Petrol
60,Ford Figo,Ford,2012,50224.99999999999,41000,Diesel
61,Hyundai Eon,Hyundai,2013,54529.99999999999,25000,Petrol
62,Tata Indigo eCS,Tata,2017,57399.99999999999,130000,Diesel
63,Ford EcoSport Ambiente,Ford,2016,238209.99999999997,24530,Diesel
64,Tata Indigo eCS,Tata,2017,57399.99999999999,130000,Diesel
65,Mahindra Scorpio SLE,Mahindra,2012,163590.0,19000,Diesel
66,Volkswagen Polo Highline,Volkswagen,2014,90405.0,60000,Petrol
67,Skoda Fabia Classic,Skoda,2010,52233.99999999999,60000,Petrol
68,Maruti Suzuki Stingray,Maruti,2015,90405.0,30000,Petrol
70,Chevrolet Spark LS,Chevrolet,2010,31569.999999999996,41000,Petrol
71,Renault Duster 110PS,Renault,2012,143787.0,35000,Diesel
72,Honda City,Honda,2015,128862.71299999999,54000,Petrol
73,Mini Cooper S,Mini,2013,542748.857,13000,Petrol
74,Datsun Redi GO,Datsun,2017,67445.0,16000,Petrol
75,Skoda Fabia 1.2L,Skoda,2011,45776.5,38200,Diesel
76,Honda Amaze,Honda,2015,99014.71299999999,22000,Petrol
77,Honda Amaze,Honda,2015,99014.71299999999,22000,Petrol
78,Renault Duster,Renault,2014,129149.71299999999,50000,Diesel
79,Mini Cooper S,Mini,2013,542748.857,13500,Petrol
80,Mahindra Scorpio S4,Mahindra,2015,248254.99999999997,30000,Diesel
81,Mahindra Scorpio VLX,Mahindra,2014,200612.99999999997,50000,Diesel
82,Mahindra Quanto C8,Mahindra,2013,107624.99999999999,20000,Diesel
83,Ford EcoSport,Ford,2017,140629.713,39000,Petrol
84,Honda Brio,Honda,2012,64574.712999999996,30000,Petrol
86,Volkswagen Vento Highline,Volkswagen,2019,344400.0,3600,Diesel
87,Hyundai i20 Magna,Hyundai,2009,55964.99999999999,32000,Petrol
88,Toyota Corolla Altis,Toyota,2010,100736.99999999999,38000,Diesel
89,Hyundai Verna Transform,Hyundai,2008,45920.0,45000,Petrol
90,Toyota Corolla Altis,Toyota,2009,68880.0,35000,Petrol
91,Honda City 1.5,Honda,2005,25829.999999999996,50000,Petrol
92,Hyundai Elite i20,Hyundai,2014,119104.99999999999,32000,Petrol
93,Skoda Fabia 1.2L,Skoda,2011,44485.0,45863,Diesel
94,BMW 3 Series,BMW,2011,172200.0,60500,Petrol
95,Maruti Suzuki A,Maruti,2011,54386.49999999999,12500,Petrol
96,Toyota Etios GD,Toyota,2013,100449.99999999999,60000,Diesel
97,Ford Figo Diesel,Ford,2012,60269.99999999999,35000,Diesel
98,Maruti Suzuki Swift,Maruti,2014,111929.99999999999,35000,Petrol
99,Chevrolet Beat LT,Chevrolet,2012,38745.0,45000,Diesel
100,BMW 7 Series,BMW,2009,459199.99999999994,35000,Petrol
101,Mahindra XUV500 W8,Mahindra,2013,201186.99999999997,38000,Diesel
102,Hyundai i10 Magna,Hyundai,2014,76055.0,18000,Petrol
103,Hyundai Verna Fluidic,Hyundai,2015,150675.0,35000,Diesel
104,Maruti Suzuki Swift,Maruti,2013,106763.99999999999,13349,Petrol
105,Maruti Suzuki Ertiga,Maruti,2016,182245.0,29000,Petrol
106,Ford EcoSport Titanium,Ford,2014,157850.0,44000,Diesel
107,Maruti Suzuki Ertiga,Maruti,2016,165025.0,29000,Petrol
108,Maruti Suzuki Ertiga,Maruti,2013,139195.0,42000,Diesel
109,Maruti Suzuki Alto,Maruti,2012,44485.0,14000,Petrol
110,Hyundai Grand i10,Hyundai,2014,99014.99999999999,49000,Diesel
111,Honda Amaze 1.2,Honda,2014,93274.99999999999,42000,Petrol
112,Hyundai i20 Asta,Hyundai,2012,94566.49999999999,36200,Diesel
113,Ford Figo Diesel,Ford,2014,55964.99999999999,50000,Diesel
114,Maruti Suzuki Eeco,Maruti,2015,72068.85699999999,55000,Petrol
115,Maruti Suzuki Ertiga,Maruti,2014,163589.713,45000,Petrol
116,Maruti Suzuki Esteem,Maruti,2007,20089.713,51000,Petrol
117,Maruti Suzuki Ritz,Maruti,2014,86099.71299999999,19000,Petrol
118,Maruti Suzuki Dzire,Maruti,2009,63139.99999999999,46000,Petrol
119,Maruti Suzuki Ritz,Maruti,2013,114799.71299999999,33000,Diesel
120,Maruti Suzuki Swift,Maruti,2013,106763.99999999999,13349,Petrol
121,Maruti Suzuki Dzire,Maruti,2015,129149.99999999999,104000,Diesel
122,Toyota Etios Liva,Toyota,2014,77490.0,55000,Petrol
123,Hyundai i20 Sportz,Hyundai,2011,100449.99999999999,33333,Diesel
124,Chevrolet Spark,Chevrolet,2012,45460.799999999996,33600,Petrol
125,Maruti Suzuki Alto,Maruti,2017,100449.99999999999,5600,Petrol
126,Nissan Micra XV,Nissan,2011,51372.99999999999,41000,Petrol
127,Maruti Suzuki Swift,Maruti,2007,35875.0,70000,Petrol
128,Maruti Suzuki Alto,Maruti,2018,57399.99999999999,7500,Petrol
129,Honda Amaze 1.5,Honda,2013,85813.0,45000,Diesel
130,Maruti Suzuki Alto,Maruti,2015,63139.99999999999,38000,Petrol
131,Chevrolet Beat,Chevrolet,2015,43050.0,30000,Petrol
133,Honda City 1.5,Honda,2010,81795.0,35000,Petrol
134,Ford EcoSport Trend,Ford,2016,238209.99999999997,24330,Diesel
135,Hyundai i20 Asta,Hyundai,2009,60269.99999999999,65480,Petrol
136,Maruti Suzuki Swift,Maruti,2013,97579.99999999999,41000,Petrol
137,Tata Indica V2,Tata,2006,25829.999999999996,20000,Petrol
139,Hindustan Motors Ambassador,Hindustan,2000,20090.0,200000,Diesel
140,Toyota Corolla Altis,Toyota,2010,83229.71299999999,70000,Petrol
141,Toyota Corolla Altis,Toyota,2012,100449.71299999999,59000,Petrol
142,Toyota Innova 2.5,Toyota,2012,243949.713,99000,Diesel
143,Volkswagen Jetta Highline,Volkswagen,2014,215249.713,46000,Diesel
144,Volkswagen Polo Comfortline,Volkswagen,2015,114799.71299999999,2800,Petrol
145,Volkswagen Polo,Volkswagen,2014,78924.71299999999,32000,Petrol
146,Mahindra Scorpio,Mahindra,2015,282694.713,22000,Diesel
147,Renault Duster,Renault,2014,129149.71299999999,50000,Diesel
148,Honda Amaze,Honda,2015,99014.71299999999,22000,Petrol
149,Nissan Sunny,Nissan,2012,64574.712999999996,45000,Petrol
150,Hyundai Elite i20,Hyundai,2018,172199.713,21000,Petrol
151,Renault Kwid,Renault,2016,70314.71299999999,11000,Petrol
152,Renault Duster,Renault,2013,114799.71299999999,41000,Diesel
153,Ford EcoSport,Ford,2017,140629.713,39000,Petrol
154,Renault Duster,Renault,2014,136324.713,50000,Diesel
155,Mahindra Scorpio VLX,Mahindra,2011,143499.713,66000,Diesel
156,Maruti Suzuki Alto,Maruti,2018,88970.0,3000,Petrol
157,Chevrolet Spark LT,Chevrolet,2010,24394.999999999996,45000,Petrol
158,Datsun Redi GO,Datsun,2016,70315.0,7000,Petrol
159,Maruti Suzuki Swift,Maruti,2010,54386.49999999999,38500,Diesel
160,Fiat Punto Emotion,Fiat,2012,48646.49999999999,37200,Diesel
161,Maruti Suzuki Swift,Maruti,2010,45776.5,43200,Diesel
162,Toyota Etios GD,Toyota,2013,78925.0,24800,Petrol
163,Hyundai i20 Sportz,Hyundai,2014,106189.99999999999,60000,Diesel
164,Hyundai i10 Sportz,Hyundai,2010,48215.99999999999,45872,Petrol
165,Chevrolet Beat LT,Chevrolet,2011,43050.0,40000,Diesel
166,Chevrolet Beat LS,Chevrolet,2011,41615.0,45000,Diesel
167,Chevrolet Beat LT,Chevrolet,2012,28269.499999999996,38000,Diesel
168,Mahindra Scorpio VLX,Mahindra,2014,200612.99999999997,50000,Diesel
169,Tata Indigo CS,Tata,2011,24394.999999999996,11400,Diesel
170,Toyota Corolla Altis,Toyota,2015,165025.0,42000,Petrol
171,Honda City 1.5,Honda,2014,157563.0,39000,Petrol
172,Maruti Suzuki Swift,Maruti,2011,59982.99999999999,47000,Diesel
173,Hyundai Eon Era,Hyundai,2013,53094.99999999999,27000,Petrol
174,Mahindra Scorpio S10,Mahindra,2015,258299.99999999997,97200,Diesel
175,Mahindra XUV500,Mahindra,2014,200899.713,52000,Diesel
176,Honda Brio,Honda,2012,64574.712999999996,30000,Petrol
177,Ford Fiesta,Ford,2011,78924.71299999999,55000,Diesel
178,Honda Amaze,Honda,2013,81794.71299999999,46000,Diesel
179,Honda City,Honda,2015,172199.713,30000,Diesel
180,Maruti Suzuki Wagon,Maruti,2012,57399.712999999996,44000,Petrol
181,Honda City,Honda,2014,156414.713,45000,Diesel
182,Hyundai i20,Hyundai,2009,57112.99999999999,31000,Petrol
183,Tata Indigo eCS,Tata,2016,91840.0,175430,Diesel
184,Hyundai Fluidic Verna,Hyundai,2015,154980.0,38000,Diesel
186,Mahindra Quanto C8,Mahindra,2013,97579.99999999999,37000,Diesel
187,Fiat Petra ELX,Fiat,2008,21525.0,65000,Petrol
188,Skoda Fabia 1.2L,Skoda,2011,45776.5,38200,Diesel
189,Mini Cooper S,Mini,2013,542748.857,13000,Petrol
190,Hyundai Santro Xing,Hyundai,2005,14062.999999999998,7500,Petrol
191,Maruti Suzuki Ciaz,Maruti,2016,200899.99999999997,3350,Petrol
192,Maruti Suzuki Zen,Maruti,2000,15784.999999999998,60000,Petrol
193,Honda City,Honda,2015,128862.71299999999,54000,Petrol
194,Hyundai Creta 1.6,Hyundai,2017,256864.99999999997,32000,Petrol
196,Mahindra Scorpio SLX,Mahindra,2007,101884.99999999999,75000,Diesel
197,Mahindra Scorpio SLE,Mahindra,2012,162155.0,62000,Diesel
198,Toyota Innova 2.5,Toyota,2006,104754.99999999999,73000,Diesel
199,Maruti Suzuki Alto,Maruti,2011,41615.0,41000,Petrol
200,Maruti Suzuki Wagon,Maruti,2011,60269.99999999999,35000,Petrol
201,Tata Nano Cx,Tata,2013,11480.0,2200,Petrol
202,Maruti Suzuki Alto,Maruti,2013,35875.0,39000,Petrol
203,Maruti Suzuki Wagon,Maruti,2009,38745.0,45000,Petrol
204,Maruti Suzuki Swift,Maruti,2006,38745.0,45000,Petrol
205,Tata Sumo Victa,Tata,2012,81795.0,65000,Diesel
207,Maruti Suzuki Wagon,Maruti,2010,41615.0,54870,Petrol
208,Maruti Suzuki Alto,Maruti,2010,38745.0,34580,Petrol
209,Volkswagen Passat Diesel,Volkswagen,2009,129149.99999999999,97000,Diesel
210,Renault Scala RxL,Renault,2015,107624.99999999999,25000,Diesel
211,Mahindra Quanto C8,Mahindra,2013,107624.99999999999,20000,Diesel
212,Hyundai Grand i10,Hyundai,2014,104754.99999999999,20000,Petrol
213,Hyundai i20 Active,Hyundai,2015,143500.0,18000,Petrol
214,Mahindra Xylo E4,Mahindra,2012,114799.99999999999,35000,Diesel
215,Mahindra Jeep MM,Mahindra,2019,111929.99999999999,60,Diesel
216,Renault Duster 110PS,Renault,2012,143787.0,35000,Diesel
217,Mahindra Bolero SLE,Mahindra,2013,94709.99999999999,80200,Diesel
218,Force Motors Force,Force,2015,166460.0,3200,Diesel
219,Maruti Suzuki SX4,Maruti,2012,76055.0,46000,Diesel
220,Mahindra Jeep CL550,Mahindra,2019,108772.99999999999,0,Diesel
221,Maruti Suzuki Alto,Maruti,2015,62852.99999999999,5000,Petrol
222,Mahindra Jeep CL550,Mahindra,2018,110494.99999999999,588,Diesel
223,Toyota Etios,Toyota,2011,78925.0,36000,Diesel
224,Volkswagen Polo,Volkswagen,2015,94709.99999999999,38000,Diesel
225,Honda City ZX,Honda,2008,31569.999999999996,45000,Petrol
226,Maruti Suzuki Wagon,Maruti,2006,22960.0,71200,Petrol
227,Honda City VX,Honda,2016,148953.0,52000,Diesel
228,Mahindra Thar CRDe,Mahindra,2016,209509.99999999997,29000,Diesel
229,Mitsubishi Pajero Sport,Mitsubishi,2015,423324.99999999994,47000,Diesel
230,Audi A4 1.8,Audi,2009,200612.99999999997,47000,Petrol
231,Mercedes Benz GLA,Mercedes,2015,574000.0,20000,Diesel
232,Land Rover Freelander,Land,2015,602700.0,30000,Diesel
233,Renault Kwid RXT,Renault,2017,97579.99999999999,5000,Petrol
234,Tata Aria Pleasure,Tata,2014,111929.99999999999,35000,Diesel
235,Mercedes Benz B,Mercedes,2014,401799.99999999994,31000,Petrol
236,Datsun GO T,Datsun,2016,70315.0,7000,Petrol
237,Tata Indigo eCS,Tata,2016,91840.0,175430,Diesel
238,Tata Indigo eCS,Tata,2016,91840.0,175400,Diesel
239,Honda Jazz VX,Honda,2016,129149.99999999999,41000,Petrol
240,Honda Amaze 1.2,Honda,2014,89257.0,33000,Petrol
241,Honda Amaze,Honda,2013,81794.71299999999,46000,Diesel
242,Honda City,Honda,2012,114799.71299999999,45000,Petrol
243,Honda City,Honda,2015,172199.713,39000,Diesel
244,Honda Amaze,Honda,2015,99014.71299999999,22000,Petrol
245,Audi A4 1.8,Audi,2009,200612.99999999997,47000,Petrol
246,Force Motors Force,Force,2015,166460.0,3200,Diesel
247,Mahindra Scorpio S4,Mahindra,2015,245384.99999999997,30000,Diesel
248,Hyundai i20 Active,Hyundai,2015,153545.0,37000,Diesel
249,Mini Cooper S,Mini,2013,542748.857,13000,Petrol
250,Maruti Suzuki Ciaz,Maruti,2017,200612.99999999997,14000,Petrol
251,Chevrolet Tavera Neo,Chevrolet,2013,107624.99999999999,55000,Diesel
252,Honda Amaze,Honda,2013,81794.71299999999,46000,Diesel
253,Hyundai Eon Sportz,Hyundai,2012,51085.99999999999,30000,Petrol
254,Tata Sumo Gold,Tata,2013,86100.0,50000,Diesel
255,Maruti Suzuki Wagon,Maruti,2003,25829.999999999996,45000,Petrol
256,Maruti Suzuki Esteem,Maruti,2006,27264.999999999996,45000,Petrol
257,Maruti Suzuki Eeco,Maruti,2015,73185.0,9300,Petrol
258,Chevrolet Enjoy 1.4,Chevrolet,2013,70315.0,55000,Diesel
259,Hyundai i20 Asta,Hyundai,2012,94566.49999999999,36200,Diesel
260,Ford Figo Diesel,Ford,2014,55964.99999999999,50000,Diesel
261,Maruti Suzuki Eeco,Maruti,2015,72068.85699999999,55000,Petrol
262,Maruti Suzuki Ertiga,Maruti,2014,163589.713,45000,Petrol
263,Maruti Suzuki Esteem,Maruti,2007,20089.713,51000,Petrol
264,Maruti Suzuki Ritz,Maruti,2014,86099.71299999999,19000,Petrol
265,Maruti Suzuki Dzire,Maruti,2009,63139.99999999999,46000,Petrol
266,Maruti Suzuki Ritz,Maruti,2013,114799.71299999999,33000,Diesel
267,Maruti Suzuki SX4,Maruti,2010,71749.71299999999,36000,Petrol
268,Maruti Suzuki Wagon,Maruti,2015,83229.71299999999,22000,Petrol
269,Mini Cooper S,Mini,2013,542748.857,13500,Petrol
270,Nissan Terrano XL,Nissan,2015,143499.713,60000,Diesel
271,Renault Duster 85,Renault,2013,140629.713,27000,Diesel
272,Renault Duster 85,Renault,2014,140629.713,59000,Diesel
273,Renault Duster 85,Renault,2015,157849.713,19000,Diesel
274,Maruti Suzuki Dzire,Maruti,2013,109059.99999999999,30000,Petrol
275,Renault Kwid RXT,Renault,2018,93274.99999999999,15000,Petrol
276,Maruti Suzuki Maruti,Maruti,2003,16358.999999999998,56758,Petrol
277,Renault Kwid 1.0,Renault,2018,100449.71299999999,10000,Petrol
278,Renault Lodgy 85,Renault,2018,198029.713,20000,Diesel
279,Renault Scala RxL,Renault,2014,100449.71299999999,49000,Diesel
280,Hyundai Grand i10,Hyundai,2014,117669.99999999999,41000,Petrol
281,Maruti Suzuki Swift,Maruti,2011,64574.99999999999,45000,Petrol
282,Chevrolet Beat LS,Chevrolet,2010,34440.0,43000,Petrol
283,Tata Indigo eCS,Tata,2016,91840.0,175430,Diesel
284,Hyundai Santro Xing,Hyundai,2000,16933.0,56450,Petrol
285,Hyundai Fluidic Verna,Hyundai,2015,154980.0,38000,Diesel
287,Chevrolet Beat LS,Chevrolet,2010,22960.0,56000,Petrol
288,Mahindra Quanto C8,Mahindra,2013,97579.99999999999,37000,Diesel
289,Fiat Petra ELX,Fiat,2008,21525.0,65000,Petrol
290,Chevrolet Beat LS,Chevrolet,2015,63139.99999999999,32700,Petrol
291,Skoda Fabia 1.2L,Skoda,2011,45776.5,38200,Diesel
292,Ford EcoSport Titanium,Ford,2016,171913.0,30000,Diesel
293,Hyundai Accent GLX,Hyundai,2006,22960.0,56000,Petrol
296,Mahindra TUV300 T4,Mahindra,2016,193724.99999999997,9000,Diesel
297,Mini Cooper S,Mini,2013,542748.857,13000,Petrol
298,Mini Cooper S,Mini,2013,542748.857,13000,Petrol
299,Tata Indica V2,Tata,2008,43050.0,11000,Petrol
300,Mini Cooper S,Mini,2013,542748.857,13000,Petrol
301,Tata Indigo CS,Tata,2009,20807.5,46000,Diesel
302,Maruti Suzuki Swift,Maruti,2019,175070.0,73,Petrol
303,Mahindra Scorpio VLX,Mahindra,2004,66010.0,160000,Diesel
305,Honda Accord,Honda,2009,50224.99999999999,58559,Petrol
306,Mahindra Scorpio S4,Mahindra,2015,245384.99999999997,30000,Diesel
307,Chevrolet Tavera Neo,Chevrolet,2013,107624.99999999999,55000,Diesel
308,Ford EcoSport Titanium,Ford,2014,149240.0,57000,Diesel
309,Maruti Suzuki Ertiga,Maruti,2015,150674.713,50000,Diesel
310,Honda Amaze,Honda,2014,86099.71299999999,37000,Petrol
311,Maruti Suzuki Dzire,Maruti,2012,86099.71299999999,40000,Petrol
312,Honda City,Honda,2011,81794.71299999999,55000,Petrol
313,Mahindra Scorpio 2.6,Mahindra,2007,63139.99999999999,170000,Diesel
314,Maruti Suzuki Dzire,Maruti,2014,121974.71299999999,55000,Diesel
315,Honda City,Honda,2015,185114.713,39000,Petrol
316,Honda Mobilio,Honda,2014,114799.71299999999,44000,Petrol
317,Toyota Corolla Altis,Toyota,2009,57399.712999999996,65000,Petrol
318,Honda City,Honda,2014,167894.713,39000,Petrol
319,Skoda Laura,Skoda,2012,100449.71299999999,44000,Diesel
320,Renault Duster,Renault,2015,129149.71299999999,49000,Diesel
321,Maruti Suzuki Ertiga,Maruti,2018,229599.713,9000,Diesel
322,Maruti Suzuki Dzire,Maruti,2015,127714.71299999999,45000,Diesel
323,Mahindra XUV500,Mahindra,2014,186549.713,47000,Diesel
324,Hyundai Verna Fluidic,Hyundai,2012,127714.71299999999,40000,Diesel
325,Maruti Suzuki Vitara,Maruti,2016,198029.713,29000,Diesel
326,Maruti Suzuki Wagon,Maruti,2016,99014.71299999999,15000,Petrol
327,Mahindra Scorpio,Mahindra,2015,271214.713,45000,Diesel
328,Honda Amaze,Honda,2014,78924.71299999999,35000,Petrol
329,Mahindra XUV500,Mahindra,2013,198029.713,80000,Diesel
330,Mahindra Scorpio,Mahindra,2013,165024.713,68000,Diesel
331,Skoda Laura,Skoda,2013,107624.71299999999,50000,Diesel
332,Volkswagen Polo,Volkswagen,2010,57399.712999999996,60000,Diesel
333,Hyundai Elite i20,Hyundai,2016,157849.713,9000,Petrol
334,Tata Manza Aura,Tata,2012,37310.0,72000,Diesel
335,Chevrolet Sail UVA,Chevrolet,2013,60269.99999999999,60000,Petrol
336,Renault Duster 110,Renault,2012,143787.0,38000,Diesel
337,Hyundai Verna Fluidic,Hyundai,2013,115086.99999999999,45000,Diesel
338,Audi A4 2.0,Audi,2012,387449.99999999994,40000,Diesel
339,Hyundai Elantra SX,Hyundai,2013,172200.0,20000,Petrol
340,Mahindra Scorpio VLX,Mahindra,2013,175070.0,35000,Diesel
341,Mahindra KUV100 K8,Mahindra,2016,114799.99999999999,20000,Diesel
342,Renault Scala RxL,Renault,2015,107624.99999999999,25000,Diesel
343,Mahindra Quanto C8,Mahindra,2013,107624.99999999999,20000,Diesel
344,Hyundai Grand i10,Hyundai,2014,104754.99999999999,20000,Petrol
345,Hyundai i20 Active,Hyundai,2015,143500.0,18000,Petrol
346,Mahindra Xylo E4,Mahindra,2012,114799.99999999999,35000,Diesel
347,Hyundai Grand i10,Hyundai,2017,150674.713,6821,Petrol
348,Hyundai i20,Hyundai,2014,129149.71299999999,23000,Petrol
349,Hyundai Eon,Hyundai,2014,50224.712999999996,14000,Petrol
350,Hyundai i10,Hyundai,2012,70314.71299999999,38000,Petrol
351,Hyundai i20 Active,Hyundai,2015,165024.713,35000,Diesel
352,Datsun Redi GO,Datsun,2017,70314.71299999999,22000,Petrol
353,Toyota Etios Liva,Toyota,2011,68879.71299999999,41000,Petrol
354,Hyundai Accent,Hyundai,2010,28699.712999999996,45000,Petrol
355,Hyundai Verna,Hyundai,2014,140629.713,44000,Diesel
356,Maruti Suzuki Swift,Maruti,2013,93274.71299999999,45000,Diesel
357,Toyota Fortuner,Toyota,2011,308524.713,52000,Diesel
358,Hyundai i10 Sportz,Hyundai,2012,66010.0,34000,Petrol
359,Mahindra Bolero Power,Mahindra,2018,200612.99999999997,1800,Diesel
361,Mahindra XUV500,Mahindra,2015,287000.0,15000,Diesel
362,Honda City 1.5,Honda,2010,68880.0,400000,Petrol
363,Chevrolet Spark LT,Chevrolet,2009,31569.999999999996,44000,Petrol
364,Mahindra Jeep MM,Mahindra,2019,111929.99999999999,60,Diesel
365,Renault Duster 110PS,Renault,2012,143787.0,35000,Diesel
366,Mahindra XUV500,Mahindra,2016,324310.0,72000,Diesel
367,Tata Indigo eCS,Tata,2014,71750.0,40000,Diesel
369,Mahindra Bolero SLE,Mahindra,2013,94709.99999999999,80200,Diesel
370,Force Motors Force,Force,2015,166460.0,3200,Diesel
371,Skoda Rapid Elegance,Skoda,2013,97579.99999999999,48000,Diesel
372,Tata Vista Quadrajet,Tata,2011,34440.0,90000,Diesel
373,Maruti Suzuki Alto,Maruti,2015,76055.0,12000,Petrol
374,Maruti Suzuki SX4,Maruti,2012,76055.0,46000,Diesel
375,Maruti Suzuki Zen,Maruti,2003,24394.999999999996,69900,Petrol
376,Mahindra Jeep CL550,Mahindra,2019,108772.99999999999,0,Diesel
377,Hyundai i10 Magna,Hyundai,2011,50224.99999999999,45000,Petrol
378,Maruti Suzuki Alto,Maruti,2015,62852.99999999999,5000,Petrol
379,Maruti Suzuki Swift,Maruti,2016,100449.99999999999,166000,Diesel
380,Honda City ZX,Honda,2008,42763.0,42000,Petrol
381,Mahindra Jeep CL550,Mahindra,2018,110494.99999999999,588,Diesel
382,Mahindra Jeep MM,Mahindra,2006,121974.99999999999,122,Diesel
383,Chevrolet Beat Diesel,Chevrolet,2017,43050.0,62000,Diesel
384,Honda City 1.5,Honda,2010,64574.99999999999,70000,Petrol
386,Hyundai Verna 1.4,Hyundai,2014,107624.99999999999,36000,Petrol
387,Toyota Innova 2.5,Toyota,2012,220989.99999999997,0,Diesel
389,Maruti Suzuki Maruti,Maruti,1995,8610.0,55000,Petrol
390,Toyota Etios,Toyota,2011,78925.0,36000,Diesel
391,Volkswagen Polo,Volkswagen,2015,94709.99999999999,38000,Diesel
392,Maruti Suzuki Swift,Maruti,2014,96144.99999999999,55000,Diesel
393,Hyundai Elite i20,Hyundai,2015,129149.99999999999,20000,Diesel
394,Maruti Suzuki Swift,Maruti,2012,64574.99999999999,40000,Petrol
396,Maruti Suzuki Versa,Maruti,2004,22960.0,50000,Petrol
397,Tata Indigo LX,Tata,2016,37310.0,104000,Diesel
398,Volkswagen Vento Konekt,Volkswagen,2011,70315.0,65000,Diesel
399,Mercedes Benz C,Mercedes,2002,114512.99999999999,41000,Petrol
400,Maruti Suzuki Ertiga,Maruti,2013,129149.99999999999,90000,Diesel
402,Honda City,Honda,2000,18655.0,80000,Petrol
